commit	val_bpb	memory_gb	status	description
4d32d8c	2.626269	1.5	discard	gpu3 run8 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=3 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.1243392359021272 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626116	1.5	discard	gpu1 run9 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.1243392359021272 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=0
4d32d8c	2.626123	1.5	discard	gpu0 run9 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.00362597324974593 WEIGHT_DECAY=0.1243392359021272 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626066	1.5	discard	gpu2 run9 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.1243392359021272 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626231	1.5	discard	gpu3 run9 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.1243392359021272 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.3 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626164	1.5	discard	gpu1 run10 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.10937980106416394 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626718	1.5	discard	gpu0 run10 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=16384 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.0055106789504153365 WEIGHT_DECAY=0.1243392359021272 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626097	1.5	discard	gpu2 run10 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.1243392359021272 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626092	1.5	discard	gpu3 run10 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=1 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.1243392359021272 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
4d32d8c	2.626236	1.5	discard	gpu1 run11 DEPTH=6 HEAD_DIM=32 ASPECT_RATIO=64 H_CYCLES=1 L_CYCLES=3 FORWARD_DTYPE=bfloat16 DEVICE_BATCH_SIZE=2 TOTAL_BATCH_SIZE=65536 EMBEDDING_LR=0.22994567607363237 MATRIX_LR=0.04 UNEMBEDDING_LR=0.004 WEIGHT_DECAY=0.1243392359021272 WARMUP_RATIO=0.02 WARMDOWN_RATIO=0.5 FINAL_LR_FRAC=0.0 LOGITS_SOFTCAP=15.0 ZERO_O_PROJ_INIT=1
